trajectory,round,task,metric,value,status,error,source
qwen_v1,base,speaker,bleu_4,2.749013298016237e-11,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,speaker,rouge_l,0.3248598807892283,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,speaker,meteor,0.1750643033937872,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,speaker,spider,0.17300764216518572,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,speaker,fense,0.8970561747479278,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,speaker,bertscore,0.6877145767211914,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,speaker,clapscore,,unavailable,"stack expects each tensor to be equal size, but got [77] at entry 0 and [87] at entry 1",/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,style,bleu_4,4.2897954395305903e-07,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,style,rouge_l,0.4321982240793027,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,style,meteor,0.22820872221328897,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,style,spider,0.18141591535754598,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,style,fense,0.9103579813424265,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,style,bertscore,0.7317608594894409,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,style,clapscore,,unavailable,"stack expects each tensor to be equal size, but got [77] at entry 0 and [106] at entry 2",/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,emotion,bleu_4,4.5478225176896326e-11,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,emotion,rouge_l,0.37195685825719504,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,emotion,meteor,0.12887012613057375,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,emotion,spider,0.19022844999266497,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,emotion,fense,0.875533214083232,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,emotion,bertscore,0.6450345516204834,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,emotion,clapscore,,unavailable,"stack expects each tensor to be equal size, but got [77] at entry 0 and [97] at entry 4",/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,overall,bleu_4,1.6591790508401503e-06,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,overall,rouge_l,0.471306053659437,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,overall,meteor,0.16754216197355445,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,overall,spider,0.10091866261786309,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,overall,fense,0.9293687335285514,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,overall,bertscore,0.7302864193916321,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,base,overall,clapscore,,unavailable,"stack expects each tensor to be equal size, but got [77] at entry 0 and [83] at entry 5",/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen_base
qwen_v1,r0,speaker,bleu_4,2.499902747868918e-11,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen8_round0
qwen_v1,r0,speaker,rouge_l,0.3250290405443679,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen8_round0
qwen_v1,r0,speaker,meteor,0.17531561451763378,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen8_round0
qwen_v1,r0,speaker,spider,0.1728423680259542,ok,,/data/L202500147/Caption/benchmark/emotiontalk_speech_captioning/runs/eight_models_20260901_run01/full/qwen8_round0
