round,role,group_id,rank,cost,unit,source_jsonl
0,Captioner,random440_expressivespeech_287,0,619,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_245,1,908,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_304,2,568,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_178,3,744,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_deear_090,4,460,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_017,5,499,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_326,6,522,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_283,7,629,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_004,0,472,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_192,1,537,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_deear_093,2,561,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_079,3,483,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_122,4,563,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_183,5,1003,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_deear_086,6,614,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_deear_044,7,603,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_158,0,752,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_271,1,563,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_225,2,539,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
0,Captioner,random440_expressivespeech_176,3,740,sampled_tokens,/data/L202500147/Caption/DualISL_Train_RewardV3/runs/midasheng_7b_reward_v3_10rounds_20260905_run01/round_000/collections/round_000_audio_caption_rollout.output.jsonl
