id,emotion,order,blind_id,score,is_model_top,human_status,human_best
B001,happy,1,D,-2.220247986416022,True,preferred,A
B001,happy,2,C,-2.5476946588605642,False,preferred,A
B001,happy,3,A,-2.625695016235113,False,preferred,A
B001,happy,4,B,-2.863391991083821,False,preferred,A
B002,sad,1,C,-1.6412474022557337,True,preferred,"A,B,D"
B002,sad,2,D,-1.6853233324363828,False,preferred,"A,B,D"
B002,sad,3,B,-1.7708162162452936,False,preferred,"A,B,D"
B002,sad,4,A,-1.8233857112936676,False,preferred,"A,B,D"
B003,angry,1,C,-1.3735011046131451,True,preferred,"B,C,D"
B003,angry,2,D,-1.4522926074763138,False,preferred,"B,C,D"
B003,angry,3,B,-1.6328055830672383,False,preferred,"B,C,D"
B003,angry,4,A,-2.1622913579146066,False,preferred,"B,C,D"
B004,neutral,1,C,-1.3424655475343268,True,preferred,"A,C,D"
B004,neutral,2,B,-1.4930533524602652,False,preferred,"A,C,D"
B004,neutral,3,A,-1.5753378601123889,False,preferred,"A,C,D"
B004,neutral,4,D,-1.6478097376724083,False,preferred,"A,C,D"
