id,emotion,order,blind_id,score,is_model_top,human_status,human_best
B001,sad,1,B,-1.8061093149396281,True,preferred,C
B001,sad,2,D,-1.85610603975753,False,preferred,C
B001,sad,3,C,-2.08582543162629,False,preferred,C
B001,sad,4,A,-2.1054623319456973,False,preferred,C
B002,happy,1,C,-3.1755485688336194,True,preferred,C
B002,happy,2,A,-3.2146630993423364,False,preferred,C
B002,happy,3,B,-3.3140922251623124,False,preferred,C
B002,happy,4,D,-3.33082281324702,False,preferred,C
B003,neutral,1,A,-2.6738693260898194,True,preferred,B
B003,neutral,2,D,-3.446016716149946,False,preferred,B
B003,neutral,3,C,-3.5397343379445374,False,preferred,B
B003,neutral,4,B,-3.665136381983757,False,preferred,B
B004,angry,1,D,-0.9799658289800087,True,uncertain,
B004,angry,2,B,-1.0143862531209986,False,uncertain,
B004,angry,3,C,-1.128283051153024,False,uncertain,
B004,angry,4,A,-1.3271282295075555,False,uncertain,
B005,neutral,1,B,-1.3104328081632655,True,uncertain,
B005,neutral,2,C,-1.3519472014158964,False,uncertain,
B005,neutral,3,D,-1.3949634201514225,False,uncertain,
B005,neutral,4,A,-1.4801563907725115,False,uncertain,
B006,happy,1,C,-3.1716160379971066,True,preferred,D
B006,happy,2,A,-3.1895392993465066,False,preferred,D
B006,happy,3,B,-3.514103875029832,False,preferred,D
B006,happy,4,D,-3.662900170466552,False,preferred,D
B007,sad,1,C,-1.6888706457490723,True,preferred,"A,C"
B007,sad,2,A,-1.8423820308720071,False,preferred,"A,C"
B007,sad,3,D,-2.0880097059222558,False,preferred,"A,C"
B007,sad,4,B,-2.4754644952093563,False,preferred,"A,C"
B008,sad,1,A,-1.978843439059953,True,preferred,D
B008,sad,2,C,-2.1399918836541474,False,preferred,D
B008,sad,3,D,-2.330154963148137,False,preferred,D
B008,sad,4,B,-2.424969779637953,False,preferred,D
B009,sad,1,D,-2.1463144606289766,True,preferred,D
B009,sad,2,B,-2.2061857587347427,False,preferred,D
B009,sad,3,C,-2.246942710441848,False,preferred,D
