id,group_id,split,loss,main_nll,sub_nll,loss_reward,reconstruction,format,baseline,weight_0.1,weight_0.2,weight_0.3,transcript_exact_normalized,original_transcript,fixed_transcript,language,instruct
random440_expressivespeech_287::0,random440_expressivespeech_287,calibration,3.625550699234009,2.049417018890381,5.25377893447876,0.32728442932932017,0.625925925925926,0.90625,0.6539583333333334,0.6240941836736729,0.5942300340140123,0.5643658843543518,False,Go ahead. Let's go. Let's go!,"Go ahead, try. Let's go. Let's go.",English,gender: female; age: adult; accent: US English; voice timbre: bright; emotion: neutral; speaking rate: moderate; pitch: high; prosody: various intonations with some emphasis
random440_expressivespeech_287::1,random440_expressivespeech_287,calibration,3.6372798442840573,2.0594029426574707,5.259589672088623,0.31720914254115723,0.7925925925925926,0.8125,0.7945833333333334,0.7470449883281899,0.6995066433230462,0.6519682983179028,False,"Go ahead, let's go! Let's go!","Go ahead, try. Let's go. Let's go.",English,gender: female; age: adult; voice timbre: bright; speaking rate: fast; pitch: high; volume: medium
random440_expressivespeech_287::2,random440_expressivespeech_287,calibration,3.6241342544555666,2.042478084564209,5.272187232971191,0.3285122385394396,0.625925925925926,0.96875,0.6602083333333335,0.6304669645946849,0.6007255958560361,0.5709842271173875,False,"Go ahead, let's go! Let's go!","Go ahead, try. Let's go. Let's go.",English,"gender: female; age: adult; accent: US English; voice timbre: bright; emotion: happy; emotion intensity: high; speaking rate: moderate; pitch: medium; emphasis: emphasized; emphasized words: Go ahead, Let's go!; prosody: mental schematic focusing; pauses: short break between phrases"
random440_expressivespeech_287::3,random440_expressivespeech_287,calibration,3.582145547866821,2.0046448707580566,5.258335590362549,0.3659183806614911,0.6857142857142857,0.90625,0.7077678571428572,0.6757882666375776,0.6438086761322983,0.6118290856270188,False,"Go ahead, let's go.","Go ahead, try. Let's go. Let's go.",English,gender: female; age: adult; voice timbre: bright; emotion: happy; emotion intensity: low; speaking rate: moderate; prosody: confident and upbeat delivery; pauses: no notable pause
random440_expressivespeech_245::0,random440_expressivespeech_245,analysis,2.741773080825806,1.463503360748291,4.260899066925049,0.9402329090324802,0.5866666666666667,0.9375,0.62175,0.6571066242365814,0.6924632484731627,0.727819872709744,False,"We're gonna do what? If you're gonna spend Father's Day with him, don't you think it's weird you keep calling him Robert? Morning, morning, love.","Welcome to what? If you're gonna spend Father's Day with him, don't you think it's weird you keep calling him Robert? Morning, morning love.",English,gender: female; age: adult; voice timbre: bright; emotion: neutral; emotion intensity: low; speaking rate: moderate; pitch: medium; prosody: steady intonation; pauses: no identifiable pauses
random440_expressivespeech_245::2,random440_expressivespeech_245,analysis,2.73947958946228,1.4636096954345703,4.252899646759033,0.9407378351831504,0.6,0.5625,0.5962500000000001,0.6303237835183151,0.6643975670366301,0.6984713505549451,False,Is it weird to keep calling your father your husband on Father's Day?,"Welcome to what? If you're gonna spend Father's Day with him, don't you think it's weird you keep calling him Robert? Morning, morning love.",English,Speak naturally in a neutral voice.
random440_expressivespeech_304::0,random440_expressivespeech_304,calibration,2.906434941291809,1.25133216381073,5.517009258270264,0.8916790218869063,0.6,0.96875,0.6368750000000001,0.6660429021886907,0.6952108043773813,0.724378706566072,True,"So because we don't have a dog, you never get your way.","So, because we don't have a dog, you never get your way.",English,gender: female; age: adult; accent: US English; voice timbre: bright; emotion: neutral; speaking rate: moderate; pitch: low; prosody: strenuous; pauses: no distinctive pauses
random440_expressivespeech_304::2,random440_expressivespeech_304,calibration,2.909729766845703,1.2537057399749756,5.520080089569092,0.8904209224680052,0.5444444444444444,0.9375,0.58375,0.6183476478023561,0.6529452956047122,0.6875429434070682,False,"But because we don't have a dog, you never get your way.","So, because we don't have a dog, you never get your way.",English,gender: female; age: adult; accent: US English; voice timbre: bright; emotion: neutral; emotion intensity: low; speaking rate: moderate; prosody: emotional delivery with a steady pace; pauses: no significant pauses
random440_expressivespeech_178::0,random440_expressivespeech_178,analysis,2.4327524185180662,1.1933534145355225,4.1313300132751465,0.9814969699837139,0.5301587301587302,0.9375,0.5708928571428571,0.6160266811253555,0.661160505107854,0.7062943290903523,False,"Well now, I'm not, I don't give me a pen. I gotta write this down. None of this looks right.","Well, now I'm not. Give me a pen. I got to write this down. None of this looks right.",English,gender: female; age: adult; voice timbre: bright; emotion: neutral; emotion intensity: low; volume: medium; prosody: monotone; nonverbal vocalizations: sigh
random440_expressivespeech_178::1,random440_expressivespeech_178,analysis,2.4264429092407225,1.1865968704223633,4.132820129394531,0.9819423226007229,0.4444444444444445,0.875,0.48750000000000004,0.5412497878156279,0.5949995756312557,0.6487493634468836,False,fellow will not go ahead with giving me a practice pen. I have to write something down. This is what is incorrect.,"Well, now I'm not. Give me a pen. I got to write this down. None of this looks right.",English,gender: female; age: adult; voice timbre: bright; volume: medium; prosody: semantically detailed pacing; pauses: a prolonged pause at the end
