version,round,task,metric,status,value,error_type,error
qwen25_rewardv2,0,speaker,bleu_4,ok,5.557510692940712e-11,,
qwen25_rewardv2,0,speaker,rouge_l,ok,0.4227720182748309,,
qwen25_rewardv2,0,speaker,meteor,ok,0.16038260255261588,,
qwen25_rewardv2,0,speaker,spider,ok,0.21596460678581872,,
qwen25_rewardv2,0,speaker,fense,ok,0.8310809053955701,,
qwen25_rewardv2,0,speaker,bertscore,ok,0.6988521218299866,,
qwen25_rewardv2,0,speaker,clapscore,ok,0.4449986396999542,,
qwen25_rewardv2,0,style,bleu_4,ok,2.7910648631019933e-06,,
qwen25_rewardv2,0,style,rouge_l,ok,0.43286099955105006,,
qwen25_rewardv2,0,style,meteor,ok,0.14395688320370822,,
qwen25_rewardv2,0,style,spider,ok,0.23082288030845724,,
qwen25_rewardv2,0,style,fense,ok,0.6260813692772926,,
qwen25_rewardv2,0,style,bertscore,ok,0.7172170281410217,,
qwen25_rewardv2,0,style,clapscore,unavailable,,RuntimeError,"stack expects each tensor to be equal size, but got [88] at entry 0 and [77] at entry 1"
qwen25_rewardv2,0,emotion,bleu_4,ok,4.8232535429607636e-15,,
qwen25_rewardv2,0,emotion,rouge_l,ok,0.22821817877888698,,
qwen25_rewardv2,0,emotion,meteor,ok,0.10023495146234115,,
qwen25_rewardv2,0,emotion,spider,ok,0.10737376744490802,,
qwen25_rewardv2,0,emotion,fense,ok,0.7607706130230718,,
qwen25_rewardv2,0,emotion,bertscore,ok,0.6082290410995483,,
qwen25_rewardv2,0,emotion,clapscore,ok,0.3633929343924058,,
qwen25_rewardv2,0,overall,bleu_4,ok,1.1311962777507093e-14,,
qwen25_rewardv2,0,overall,rouge_l,ok,0.30350657177018464,,
qwen25_rewardv2,0,overall,meteor,ok,0.09815959919823662,,
qwen25_rewardv2,0,overall,spider,ok,0.06243757643453143,,
qwen25_rewardv2,0,overall,fense,ok,0.8045653992733725,,
qwen25_rewardv2,0,overall,bertscore,ok,0.6904956698417664,,
qwen25_rewardv2,0,overall,clapscore,ok,0.37249106493189027,,
qwen25_rewardv2,1,speaker,bleu_4,ok,5.562484836803328e-11,,
qwen25_rewardv2,1,speaker,rouge_l,ok,0.42380201847953514,,
qwen25_rewardv2,1,speaker,meteor,ok,0.16006351134467506,,
qwen25_rewardv2,1,speaker,spider,ok,0.21644089758212445,,
qwen25_rewardv2,1,speaker,fense,ok,0.8303475535645147,,
qwen25_rewardv2,1,speaker,bertscore,ok,0.699041485786438,,
qwen25_rewardv2,1,speaker,clapscore,ok,0.4453110331819118,,
qwen25_rewardv2,1,style,bleu_4,ok,2.9182739510715736e-06,,
qwen25_rewardv2,1,style,rouge_l,ok,0.43681129788022205,,
qwen25_rewardv2,1,style,meteor,ok,0.1470159367197019,,
qwen25_rewardv2,1,style,spider,ok,0.23218101259056984,,
qwen25_rewardv2,1,style,fense,ok,0.6315821722976405,,
qwen25_rewardv2,1,style,bertscore,ok,0.7187070250511169,,
qwen25_rewardv2,1,style,clapscore,unavailable,,RuntimeError,"stack expects each tensor to be equal size, but got [77] at entry 0 and [83] at entry 7"
qwen25_rewardv2,1,emotion,bleu_4,ok,4.735439075592856e-15,,
qwen25_rewardv2,1,emotion,rouge_l,ok,0.22324522795739193,,
qwen25_rewardv2,1,emotion,meteor,ok,0.09948845277610574,,
qwen25_rewardv2,1,emotion,spider,ok,0.1042652722004446,,
qwen25_rewardv2,1,emotion,fense,ok,0.7550549695008526,,
qwen25_rewardv2,1,emotion,bertscore,ok,0.6069694757461548,,
qwen25_rewardv2,1,emotion,clapscore,ok,0.36222589823589724,,
qwen25_rewardv2,1,overall,bleu_4,ok,1.142945717458701e-14,,
qwen25_rewardv2,1,overall,rouge_l,ok,0.30281053015607173,,
qwen25_rewardv2,1,overall,meteor,ok,0.09810739227189624,,
qwen25_rewardv2,1,overall,spider,ok,0.062223252107921324,,
qwen25_rewardv2,1,overall,fense,ok,0.8041510358877662,,
qwen25_rewardv2,1,overall,bertscore,ok,0.6900890469551086,,
qwen25_rewardv2,1,overall,clapscore,ok,0.37234165564666083,,
qwen25_rewardv2,2,speaker,bleu_4,ok,5.564135513779441e-11,,
qwen25_rewardv2,2,speaker,rouge_l,ok,0.42443154632692903,,
qwen25_rewardv2,2,speaker,meteor,ok,0.1605115435998584,,
qwen25_rewardv2,2,speaker,spider,ok,0.2166144808749987,,
qwen25_rewardv2,2,speaker,fense,ok,0.8339195639806564,,
qwen25_rewardv2,2,speaker,bertscore,ok,0.6988061666488647,,
qwen25_rewardv2,2,speaker,clapscore,ok,0.4457609325245664,,
qwen25_rewardv2,2,style,bleu_4,ok,2.887459211012148e-06,,
qwen25_rewardv2,2,style,rouge_l,ok,0.43573959424833525,,
qwen25_rewardv2,2,style,meteor,ok,0.14683768365609798,,
qwen25_rewardv2,2,style,spider,ok,0.2327079939665,,
qwen25_rewardv2,2,style,fense,ok,0.6275145901831523,,
qwen25_rewardv2,2,style,bertscore,ok,0.7180788516998291,,
qwen25_rewardv2,2,style,clapscore,unavailable,,RuntimeError,"stack expects each tensor to be equal size, but got [77] at entry 0 and [85] at entry 4"
qwen25_rewardv2,2,emotion,bleu_4,ok,4.7583115043638455e-15,,
qwen25_rewardv2,2,emotion,rouge_l,ok,0.22509386926188546,,
qwen25_rewardv2,2,emotion,meteor,ok,0.09978180665893596,,
qwen25_rewardv2,2,emotion,spider,ok,0.10566989844252406,,
qwen25_rewardv2,2,emotion,fense,ok,0.756048617979725,,
qwen25_rewardv2,2,emotion,bertscore,ok,0.606695294380188,,
qwen25_rewardv2,2,emotion,clapscore,ok,0.3628435477637577,,
qwen25_rewardv2,2,overall,bleu_4,ok,1.1459198711125141e-14,,
qwen25_rewardv2,2,overall,rouge_l,ok,0.3027767297693451,,
qwen25_rewardv2,2,overall,meteor,ok,0.09813717597880076,,
qwen25_rewardv2,2,overall,spider,ok,0.06233862686103568,,
qwen25_rewardv2,2,overall,fense,ok,0.8038702005361139,,
qwen25_rewardv2,2,overall,bertscore,ok,0.6896013021469116,,
qwen25_rewardv2,2,overall,clapscore,ok,0.3718540180047724,,
qwen25_rewardv2,3,speaker,bleu_4,ok,5.531775707072456e-11,,
qwen25_rewardv2,3,speaker,rouge_l,ok,0.4216124344762933,,
qwen25_rewardv2,3,speaker,meteor,ok,0.16072479933810074,,
qwen25_rewardv2,3,speaker,spider,ok,0.2156270615505944,,
qwen25_rewardv2,3,speaker,fense,ok,0.8310273571821493,,
qwen25_rewardv2,3,speaker,bertscore,ok,0.7003008723258972,,
qwen25_rewardv2,3,speaker,clapscore,ok,0.4453391837542263,,
qwen25_rewardv2,3,style,bleu_4,ok,2.876487787282689e-06,,
qwen25_rewardv2,3,style,rouge_l,ok,0.43399448681356817,,
qwen25_rewardv2,3,style,meteor,ok,0.14504386803624192,,
qwen25_rewardv2,3,style,spider,ok,0.23101633408038036,,
qwen25_rewardv2,3,style,fense,ok,0.630734892034234,,
qwen25_rewardv2,3,style,bertscore,ok,0.7177968621253967,,
qwen25_rewardv2,3,style,clapscore,unavailable,,RuntimeError,"stack expects each tensor to be equal size, but got [77] at entry 0 and [81] at entry 3"
qwen25_rewardv2,3,emotion,bleu_4,ok,4.811192677217903e-15,,
qwen25_rewardv2,3,emotion,rouge_l,ok,0.22811822513449384,,
qwen25_rewardv2,3,emotion,meteor,ok,0.09981449139992567,,
qwen25_rewardv2,3,emotion,spider,ok,0.10699051868967717,,
qwen25_rewardv2,3,emotion,fense,ok,0.7581722104716264,,
qwen25_rewardv2,3,emotion,bertscore,ok,0.607296884059906,,
qwen25_rewardv2,3,emotion,clapscore,ok,0.3624341563433177,,
qwen25_rewardv2,3,overall,bleu_4,ok,6.303832925964086e-11,,
qwen25_rewardv2,3,overall,rouge_l,ok,0.304393597858679,,
qwen25_rewardv2,3,overall,meteor,ok,0.09913752798100973,,
qwen25_rewardv2,3,overall,spider,ok,0.06271191332270848,,
qwen25_rewardv2,3,overall,fense,ok,0.8043452531578258,,
qwen25_rewardv2,3,overall,bertscore,ok,0.6905009150505066,,
qwen25_rewardv2,3,overall,clapscore,ok,0.3723037615070818,,
